[[100], [1.0], [0.01], [ROULETTE, RANK, TOURNAMENT], [SINGLE_POINT, DOUBLE_POINT, N_POINT, UNIFORM], [SINGLE_INVERT, DOUBLE_INVERT, HYPERMUTATE], [10000], [600000], [2000], [1.0], [1.0], [1.0]]
ID MIN_SELECTED AVG_SELECTED STDDEV_SELECTED AVG_GENERATIONS
000 11 12.1 0.9944289260117533 2458.8
001 12 12.8 1.0327955589886444 2466.7
002 11 12.4 1.0749676997731399 2238.0
010 10 11.9 0.9944289260117533 3027.5
011 11 12.1 1.1005049346146119 3540.1
012 12 12.7 0.6749485577105528 2247.9
020 11 12.7 1.1595018087284057 2430.5
021 11 12.1 0.8755950357709131 2704.4
022 12 13.2 0.9189365834726815 2218.2
030 11 12.1 0.8755950357709131 3212.0
031 11 12.0 0.9428090415820634 2578.1
032 11 12.6 1.1737877907772671 2236.5
100 12 12.8 0.7888106377466155 2711.9
101 11 12.1 0.9944289260117531 2839.0
102 11 12.3 0.9486832980505138 2073.1
110 11 11.9 0.5676462121975466 2390.8
111 11 11.3 0.48304589153964794 3128.0
112 11 12.5 0.97182531580755 2083.2
120 11 11.7 0.483045891539648 2547.5
121 10 11.3 0.8232726023485646 2605.1
122 10 11.7 0.6749485577105528 2046.5
130 10 11.3 0.6749485577105528 2393.7
131 10 11.3 0.6749485577105528 2096.2
132 11 12.0 0.6666666666666666 2051.7
200 12 12.7 0.6749485577105528 2906.4
201 11 11.9 1.2866839377079187 2658.9
202 12 12.9 0.8755950357709131 2137.2
210 11 12.0 0.816496580927726 2400.3
211 11 12.0 0.9428090415820634 3090.8
212 10 12.2 1.4757295747452437 2094.4
220 11 11.9 0.7378647873726218 2333.7
221 10 11.4 0.8432740427115677 2426.8
222 11 12.1 0.7378647873726218 2079.3
230 10 11.6 0.9660917830792958 2308.1
231 11 12.0 1.4907119849998598 2294.5
232 11 12.5 0.8498365855987975 2049.4



ID NUM_SELECTED NUM_GENERATIONS FEASIBLE
0000 11 2333 true
0001 13 2413 true
0002 13 3448 true
0003 13 2367 true
0004 11 2210 true
0005 11 2233 true
0006 13 2279 true
0007 12 2626 true
0008 11 2451 true
0009 13 2228 true
0010 13 2232 true
0011 12 3401 true
0012 15 2196 true
0013 13 2161 true
0014 12 2250 true
0015 12 2079 true
0016 12 2384 true
0017 14 2075 true
0018 13 2402 true
0019 12 3487 true
0020 13 2181 true
0021 11 2198 true
0022 13 2220 true
0023 13 2197 true
0024 11 2288 true
0025 13 2470 true
0026 14 2171 true
0027 12 2270 true
0028 13 2253 true
0029 11 2132 true
0100 12 2119 true
0101 11 2361 true
0102 13 2355 true
0103 11 4008 true
0104 13 4468 true
0105 12 2302 true
0106 12 2958 true
0107 12 2193 true
0108 10 4360 true
0109 13 3151 true
0110 11 4028 true
0111 12 4244 true
0112 11 4224 true
0113 13 3545 true
0114 13 3266 true
0115 11 4623 true
0116 12 2283 true
0117 13 2254 true
0118 14 2751 true
0119 11 4183 true
0120 12 2240 true
0121 13 2282 true
0122 13 2138 true
0123 13 2283 true
0124 13 2325 true
0125 14 2268 true
0126 13 2216 true
0127 12 2357 true
0128 12 2065 true
0129 12 2305 true
0200 13 2334 true
0201 13 2241 true
0202 12 2176 true
0203 12 2179 true
0204 12 2253 true
0205 14 2322 true
0206 11 3277 true
0207 13 2928 true
0208 12 2364 true
0209 15 2231 true
0210 13 2224 true
0211 13 3220 true
0212 11 2202 true
0213 11 2504 true
0214 13 3199 true
0215 12 2286 true
0216 12 3109 true
0217 13 3118 true
0218 11 2979 true
0219 12 2203 true
0220 12 2301 true
0221 13 2189 true
0222 14 2251 true
0223 14 2257 true
0224 14 2186 true
0225 13 2160 true
0226 14 2138 true
0227 12 2266 true
0228 14 2192 true
0229 12 2242 true
0300 13 2534 true
0301 13 3376 true
0302 13 3436 true
0303 12 2370 true
0304 11 2632 true
0305 11 5471 true
0306 13 3143 true
0307 12 3163 true
0308 11 3781 true
0309 12 2214 true
0310 11 3461 true
0311 12 2198 true
0312 14 2323 true
0313 13 2457 true
0314 12 3659 true
0315 12 2472 true
0316 12 2177 true
0317 11 2319 true
0318 12 2495 true
0319 11 2220 true
0320 11 2157 true
0321 13 2115 true
0322 14 2156 true
0323 12 2324 true
0324 11 2271 true
0325 14 2283 true
0326 14 2209 true
0327 12 2220 true
0328 12 2207 true
0329 13 2423 true
1000 13 2787 true
1001 12 2279 true
1002 12 3236 true
1003 12 2656 true
1004 14 2244 true
1005 13 2579 true
1006 12 3481 true
1007 14 3007 true
1008 13 2425 true
1009 13 2425 true
1010 11 2240 true
1011 11 3437 true
1012 12 2104 true
1013 11 3695 true
1014 12 3176 true
1015 13 2120 true
1016 13 2126 true
1017 14 2103 true
1018 12 3964 true
1019 12 3425 true
1020 11 2096 true
1021 12 2055 true
1022 12 2127 true
1023 12 2027 true
1024 12 2116 true
1025 14 2040 true
1026 12 2112 true
1027 12 2044 true
1028 14 2046 true
1029 12 2068 true
1100 11 2458 true
1101 12 2200 true
1102 12 2161 true
1103 12 2933 true
1104 12 3235 true
1105 12 2029 true
1106 12 2135 true
1107 13 2024 true
1108 12 2457 true
1109 11 2276 true
1110 12 3062 true
1111 11 3676 true
1112 11 2220 true
1113 11 2876 true
1114 11 2315 true
1115 12 3640 true
1116 11 3665 true
1117 11 3527 true
1118 12 4117 true
1119 11 2182 true
1120 13 2052 true
1121 12 2027 true
1122 11 2073 true
1123 12 2127 true
1124 13 2090 true
1125 14 2043 true
1126 12 2078 true
1127 12 2237 true
1128 12 2028 true
1129 14 2077 true
1200 11 3975 true
1201 12 2960 true
1202 11 2519 true
1203 12 2223 true
1204 12 2567 true
1205 12 2346 true
1206 12 2576 true
1207 12 2032 true
1208 12 2021 true
1209 11 2256 true
1210 11 3519 true
1211 10 2057 true
1212 12 2364 true
1213 11 2879 true
1214 11 2021 true
1215 12 2040 true
1216 11 4296 true
1217 13 2037 true
1218 11 2773 true
1219 11 2065 true
1220 12 2036 true
1221 12 2038 true
1222 12 2030 true
1223 12 2069 true
1224 10 2035 true
1225 12 2041 true
1226 12 2109 true
1227 11 2046 true
1228 12 2034 true
1229 12 2027 true
1300 12 2030 true
1301 11 2033 true
1302 11 2254 true
1303 11 2979 true
1304 12 2031 true
1305 12 2033 true
1306 12 2031 true
1307 11 3505 true
1308 11 2902 true
1309 10 2139 true
1310 12 2031 true
1311 11 2279 true
1312 12 2033 true
1313 10 2168 true
1314 12 2031 true
1315 11 2264 true
1316 11 2035 true
1317 11 2063 true
1318 11 2033 true
1319 12 2025 true
1320 12 2027 true
1321 12 2035 true
1322 11 2047 true
1323 11 2029 true
1324 12 2192 true
1325 12 2036 true
1326 13 2030 true
1327 12 2053 true
1328 13 2033 true
1329 12 2035 true
2000 12 4007 true
2001 13 2393 true
2002 13 2520 true
2003 12 4307 true
2004 12 2548 true
2005 13 2122 true
2006 13 2148 true
2007 14 2825 true
2008 13 2143 true
2009 12 4051 true
2010 11 3638 true
2011 11 2447 true
2012 11 3996 true
2013 15 2029 true
2014 12 2065 true
2015 11 2147 true
2016 12 2022 true
2017 13 2274 true
2018 12 2211 true
2019 11 3760 true
2020 14 2139 true
2021 12 2231 true
2022 13 2049 true
2023 13 2075 true
2024 13 2168 true
2025 12 2183 true
2026 14 2050 true
2027 12 2218 true
2028 14 2109 true
2029 12 2150 true
2100 12 2548 true
2101 12 2047 true
2102 12 2214 true
2103 13 2230 true
2104 13 3599 true
2105 11 2406 true
2106 11 2162 true
2107 13 2063 true
2108 11 2657 true
2109 12 2077 true
2110 13 2926 true
2111 13 2630 true
2112 12 2111 true
2113 11 2462 true
2114 11 6198 true
2115 13 2049 true
2116 13 2154 true
2117 12 2142 true
2118 11 6075 true
2119 11 2161 true
2120 12 2097 true
2121 12 2138 true
2122 11 2157 true
2123 12 2073 true
2124 14 2055 true
2125 12 2105 true
2126 10 2094 true
2127 15 2087 true
2128 13 2042 true
2129 11 2096 true
2200 11 2067 true
2201 12 2333 true
2202 12 2043 true
2203 13 2055 true
2204 12 2050 true
2205 11 4245 true
2206 12 2049 true
2207 11 2219 true
2208 13 2040 true
2209 12 2236 true
2210 10 2192 true
2211 11 2040 true
2212 12 2805 true
2213 11 2347 true
2214 11 3152 true
2215 13 2055 true
2216 11 3366 true
2217 12 2134 true
2218 12 2130 true
2219 11 2047 true
2220 11 2194 true
2221 12 2038 true
2222 13 2045 true
