[[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100], [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01], [ROULETTE, ROULETTE, ROULETTE, ROULETTE, ROULETTE, ROULETTE, ROULETTE, ROULETTE, ROULETTE, ROULETTE, ROULETTE], [UNIFORM, UNIFORM, UNIFORM, UNIFORM, UNIFORM, UNIFORM, UNIFORM, UNIFORM, UNIFORM, UNIFORM, UNIFORM], [SINGLE_INVERT, SINGLE_INVERT, SINGLE_INVERT, SINGLE_INVERT, SINGLE_INVERT, SINGLE_INVERT, SINGLE_INVERT, SINGLE_INVERT, SINGLE_INVERT, SINGLE_INVERT, SINGLE_INVERT], [10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000], [600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000], [2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000], [1.0, 1.0, 1.0, 3.0, 5.0, 10.0, 10.0, 10.0, 10.0, 100.0, 100.0], [1.0, 10.0, 100.0, 2.0, 10.0, 1.0, 5.0, 10.0, 100.0, 1.0, 10.0], [1.0, 10.0, 10.0, 1.0, 1.0, 10.0, 1.0, 1.0, 1.0, 10.0, 1.0]]
ID MIN_SELECTED AVG_SELECTED STDDEV_SELECTED AVG_GENERATIONS
0 11 12.0 0.6666666666666666 2658.5
1 0 0.0 0.0 0.0
10 10 11.285714285714286 0.6172133998483676 3584.285714285714
2 0 0.0 0.0 0.0
3 10 11.6 0.8432740427115677 2799.2
4 10 11.0 0.4714045207910317 3745.5
5 11 11.7 0.8232726023485647 3310.0
6 11 12.2 0.6324555320336758 2313.5
7 10 11.6 0.8432740427115677 2890.6
8 0 0.0 0.0 0.0
9 11 12.1 0.7378647873726218 2922.5



ID NUM_SELECTED NUM_GENERATIONS FEASIBLE
00 12 2542 true
01 11 2694 true
02 12 2331 true
03 12 2358 true
04 12 3227 true
05 11 2789 true
06 12 2143 true
07 12 4154 true
08 13 2143 true
09 13 2204 true
10 7 5037 false
100 10 6007 true
101 11 3603 false
102 11 3784 true
103 12 3488 true
104 12 2191 true
105 11 2912 false
106 11 2452 true
107 11 4910 true
108 12 2258 true
109 12 2172 false
11 6 4318 false
12 7 3268 false
13 6 3435 false
14 7 2358 false
15 8 2370 false
16 7 3603 false
17 6 3058 false
18 7 3596 false
19 7 3779 false
20 2 4280 false
21 2 2044 false
22 2 2064 false
23 2 2065 false
24 2 4371 false
25 1 2688 false
26 2 3422 false
27 1 5112 false
28 2 2129 false
29 2 2167 false
30 10 2179 true
31 12 3376 true
32 12 2147 true
33 12 2218 true
34 12 2374 true
35 11 4140 true
36 13 2204 true
37 12 3283 true
38 11 3461 true
39 11 2610 true
40 11 2577 true
41 10 2183 false
42 11 3556 false
43 10 4355 true
44 10 4281 false
45 11 2160 false
46 9 2789 false
47 12 2101 true
48 10 3283 false
49 11 5949 true
50 11 5300 true
51 11 6064 true
52 11 2371 true
53 12 2448 true
54 13 3068 true
55 12 2258 true
56 13 2295 true
57 11 3225 true
58 11 2369 true
59 12 3702 true
60 13 2339 true
61 12 2448 true
62 13 2123 true
63 12 2291 true
64 12 2264 true
65 13 2328 true
66 12 2107 true
67 11 2501 true
68 12 2371 true
69 12 2363 true
70 13 2822 true
71 12 2386 true
72 11 2490 true
73 11 3724 true
74 11 3178 true
75 12 2828 true
76 12 2836 true
77 10 2243 true
78 12 3926 true
79 12 2473 true
80 6 2739 false
81 5 4022 false
82 5 3922 false
83 6 2092 false
84 5 2404 false
85 5 3833 false
86 6 5051 false
87 6 4904 false
88 5 4106 false
89 6 2788 false
90 12 3217 true
91 12 2467 true
92 13 2164 true
93 13 3587 true
94 12 3285 true
95 11 3855 true
96 11 2270 true
97 13 2399 true
98 12 3698 true
99 12 2283 true
