[[100], [1.0], [0.01], [ROULETTE, RANK, TOURNAMENT], [SINGLE_POINT, DOUBLE_POINT, N_POINT, UNIFORM], [SINGLE_INVERT, DOUBLE_INVERT, HYPERMUTATE], [10000], [600000], [2000], [1.0], [1.0], [1.0]]
ID MIN_SELECTED AVG_SELECTED STDDEV_SELECTED AVG_GENERATIONS
000 12 12.0 NaN 3737.0
001 12 12.0 0.0 2865.0
002 13 13.0 NaN 2234.0
010 12 12.5 0.7071067811865476 2651.0
020 12 12.0 NaN 2964.0
031 12 12.0 NaN 2471.0
100 11 11.0 NaN 2398.0
101 12 12.0 0.0 2681.0
102 13 13.0 NaN 2072.0
110 11 11.0 0.0 2671.0
112 12 12.5 0.7071067811865476 2116.0
120 10 10.0 NaN 3162.0
121 10 10.0 NaN 3659.0
122 12 12.0 NaN 807.0
130 12 12.0 NaN 2456.0
132 12 12.0 NaN 2035.0
200 12 12.0 NaN 3508.0
201 12 12.333333333333334 0.5773502691896257 2188.3333333333335
202 12 13.0 1.4142135623730951 2049.5
210 12 12.0 NaN 2073.0
211 12 12.0 NaN 3081.0
220 13 13.0 NaN 2050.0
221 12 12.0 0.0 2116.5
222 13 13.0 NaN 2046.0
230 11 11.666666666666666 0.5773502691896257 1767.6666666666667
231 10 10.5 0.7071067811865476 2060.5



ID NUM_SELECTED NUM_GENERATIONS FEASIBLE
0001 12 3737 true
0010 12 3523 true
0011 12 2207 true
0021 13 2234 true
0100 12 2119 true
0101 13 3183 true
0201 12 2964 true
0312 12 2471 true
1000 11 2398 true
1010 12 3076 true
1011 12 2286 true
1022 13 2072 true
1101 11 2117 true
1102 11 3225 true
1121 13 2161 true
1122 12 2071 true
1202 10 3162 true
1212 10 3659 true
1220 12 807 true
1301 12 2456 true
1320 12 2035 true
2000 12 3508 true
2010 12 2240 true
2011 13 2112 true
2012 12 2213 true
2020 12 2056 true
2022 14 2043 true
2100 12 2073 true
2111 12 3081 true
2202 13 2050 true
2211 12 2170 true
2212 12 2063 true
2222 13 2046 true
2300 12 1126 true
2301 12 2080 true
2302 11 2097 true
2310 10 2056 true
2312 11 2065 true
