[[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100], [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01], [ROULETTE, ROULETTE, ROULETTE, ROULETTE, ROULETTE, ROULETTE, ROULETTE, ROULETTE, ROULETTE, ROULETTE, ROULETTE], [UNIFORM, UNIFORM, UNIFORM, UNIFORM, UNIFORM, UNIFORM, UNIFORM, UNIFORM, UNIFORM, UNIFORM, UNIFORM], [SINGLE_INVERT, SINGLE_INVERT, SINGLE_INVERT, SINGLE_INVERT, SINGLE_INVERT, SINGLE_INVERT, SINGLE_INVERT, SINGLE_INVERT, SINGLE_INVERT, SINGLE_INVERT, SINGLE_INVERT], [10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000], [600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000], [2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000], [1.0, 1.0, 1.0, 3.0, 5.0, 10.0, 10.0, 10.0, 10.0, 100.0, 100.0], [1.0, 10.0, 100.0, 2.0, 10.0, 1.0, 5.0, 10.0, 100.0, 1.0, 10.0], [1.0, 10.0, 10.0, 1.0, 1.0, 10.0, 1.0, 1.0, 1.0, 10.0, 1.0]]
ID MIN_SELECTED AVG_SELECTED AVG_GENERATIONS
0 20 22.8 3101.3
1 0 0.0 0.0
10 20 21.7 3589.0
2 0 0.0 0.0
3 20 22.5 2941.7
4 20 20.833333333333332 3670.3333333333335
5 20 22.7 3544.0
6 20 22.0 2954.1
7 19 21.1 3039.2
8 0 0.0 0.0
9 20 22.8 3452.4



ID NUM_SELECTED NUM_GENERATIONS FEASIBLE
00 23 3110 true
01 24 3734 true
02 23 2531 true
03 20 4178 true
04 21 2932 true
05 23 3001 true
06 22 2866 true
07 25 2783 true
08 23 3212 true
09 24 2666 true
10 14 6578 false
100 21 3782 true
101 23 2608 true
102 21 4394 true
103 25 2802 true
104 20 5653 true
105 22 2779 true
106 21 2780 true
107 20 4271 true
108 23 2917 true
109 21 3904 true
11 15 10001 false
12 15 7019 false
13 17 7963 false
14 16 2772 false
15 16 8101 false
16 15 4740 false
17 14 6321 false
18 15 7052 false
19 15 4882 false
20 6 3318 false
21 5 5093 false
22 5 3550 false
23 5 3103 false
24 4 3919 false
25 4 4248 false
26 4 3820 false
27 6 5680 false
28 5 4349 false
29 5 5322 false
30 23 2566 true
31 25 2841 true
32 21 2846 true
33 24 2907 true
34 22 2773 true
35 21 3268 true
36 20 3284 true
37 21 3814 true
38 22 2538 true
39 26 2580 true
40 20 3645 true
41 21 3393 true
42 20 3199 false
43 22 2696 true
44 20 4493 false
45 20 4968 true
46 21 3680 true
47 20 3735 false
48 21 3640 true
49 19 3217 false
50 22 3009 true
51 20 2886 true
52 22 2888 true
53 22 3157 true
54 23 6380 true
55 27 2527 true
56 23 2812 true
57 23 4268 true
58 22 4283 true
59 23 3230 true
60 23 2569 true
61 23 2834 true
62 22 2508 true
63 22 2875 true
64 20 3572 true
65 20 3442 true
66 24 2772 true
67 21 2747 true
68 23 3033 true
69 22 3189 true
70 21 4087 true
71 21 3959 true
72 25 2656 true
73 22 2450 true
74 19 3393 true
75 19 3188 true
76 20 2813 true
77 24 2841 true
78 19 2387 true
79 21 2618 true
80 11 4540 false
81 13 5693 false
82 12 4636 false
83 11 4253 false
84 11 4088 false
85 11 3038 false
86 13 2961 false
87 11 5058 false
88 12 3509 false
89 12 3821 false
90 24 2592 true
91 22 2683 true
92 20 3202 true
93 23 3453 true
94 22 3546 true
95 25 4426 true
96 22 3181 true
97 23 4780 true
98 24 3094 true
99 23 3567 true
