[[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100], [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01], [ROULETTE, ROULETTE, ROULETTE, ROULETTE, ROULETTE, ROULETTE, ROULETTE, ROULETTE, ROULETTE, ROULETTE, ROULETTE], [UNIFORM, UNIFORM, UNIFORM, UNIFORM, UNIFORM, UNIFORM, UNIFORM, UNIFORM, UNIFORM, UNIFORM, UNIFORM], [SINGLE_INVERT, SINGLE_INVERT, SINGLE_INVERT, SINGLE_INVERT, SINGLE_INVERT, SINGLE_INVERT, SINGLE_INVERT, SINGLE_INVERT, SINGLE_INVERT, SINGLE_INVERT, SINGLE_INVERT], [10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000], [600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000], [2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000], [1.0, 1.0, 1.0, 3.0, 5.0, 10.0, 10.0, 10.0, 10.0, 100.0, 100.0], [1.0, 10.0, 100.0, 2.0, 10.0, 1.0, 5.0, 10.0, 100.0, 1.0, 10.0], [1.0, 10.0, 10.0, 1.0, 1.0, 10.0, 1.0, 1.0, 1.0, 10.0, 1.0]]
ID MIN_SELECTED AVG_SELECTED STDDEV_SELECTED AVG_GENERATIONS
0 20 22.1 1.5951314818673865 2944.0
1 0 0.0 0.0 0.0
10 0 0.0 0.0 0.0
2 0 0.0 0.0 0.0
3 22 23.0 0.9428090415820634 3334.2
4 0 0.0 0.0 0.0
5 21 22.5 1.2692955176439846 3454.1
6 22 22.0 0.0 2344.5
7 0 0.0 0.0 0.0
8 0 0.0 0.0 0.0
9 22 23.2 1.0327955589886446 3491.2



ID NUM_SELECTED NUM_GENERATIONS FEASIBLE
00 22 2310 true
01 21 3072 true
02 20 3572 true
03 23 3899 true
04 22 3017 true
05 22 2368 true
06 25 2259 true
07 22 4170 true
08 20 2367 true
09 24 2406 true
10 12 3013 false
100 18 5044 false
101 19 2856 false
102 19 4716 false
103 20 3345 false
104 21 2960 false
105 18 6342 false
106 20 4259 false
107 18 3985 false
108 20 2576 false
109 20 3426 false
11 11 6062 false
12 12 2744 false
13 11 2453 false
14 11 2380 false
15 10 3732 false
16 11 3906 false
17 11 6035 false
18 12 2408 false
19 11 3331 false
20 3 2301 false
21 3 2354 false
22 3 2490 false
23 3 2554 false
24 3 3804 false
25 3 2233 false
26 3 2455 false
27 3 3035 false
28 3 2439 false
29 3 3214 false
30 22 4713 true
31 22 2368 true
32 23 4229 true
33 23 3774 true
34 24 2282 true
35 24 3145 true
36 22 5615 true
37 24 2558 true
38 24 2227 true
39 22 2431 true
40 16 2869 false
41 16 4241 false
42 15 2849 false
43 17 3398 false
44 17 3417 false
45 17 4399 false
46 16 3423 false
47 18 3963 false
48 16 3206 false
49 16 2359 false
50 22 3612 true
51 21 2452 true
52 23 2441 true
53 23 3912 true
54 21 3920 true
55 22 4995 true
56 25 3839 true
57 22 3708 true
58 24 3004 true
59 22 2658 true
60 23 4035 false
61 22 2309 true
62 22 2285 false
63 21 4274 false
64 22 2342 false
65 21 3885 false
66 22 2511 false
67 22 2380 true
68 22 3687 false
69 21 2383 false
70 20 2677 false
71 19 2218 false
72 19 2484 false
73 18 4660 false
74 18 3195 false
75 19 2562 false
76 19 6180 false
77 19 2801 false
78 21 3005 false
79 18 4113 false
80 8 4565 false
81 8 2516 false
82 8 4533 false
83 8 5454 false
84 9 2548 false
85 8 6729 false
86 9 2370 false
87 8 2348 false
88 8 3659 false
89 8 5154 false
90 24 4428 true
91 22 3704 true
92 23 3648 true
93 22 5369 true
94 24 2287 true
95 23 2439 true
96 24 2321 true
97 22 4202 true
98 25 3516 true
99 23 2998 true
