[[100], [1.0], [0.01], [ROULETTE, RANK, TOURNAMENT], [SINGLE_POINT, DOUBLE_POINT, N_POINT, UNIFORM], [SINGLE_INVERT, DOUBLE_INVERT, HYPERMUTATE], [10000], [600000], [2000], [1.0], [1.0], [1.0]]
ID MIN_SELECTED AVG_SELECTED STDDEV_SELECTED AVG_GENERATIONS
000 61 63.6 1.577621275493231 4522.9
001 60 62.5 1.9578900207451218 4778.8
002 58 62.5 2.173067468400883 3981.4
010 59 62.3 1.8287822299126937 4786.6
011 59 62.4 2.633122354417533 4561.7
012 61 63.0 1.7638342073763935 3786.7
020 60 63.2 1.5491933384829668 4453.3
021 58 62.6 1.9550504398153572 4467.1
022 60 62.1 1.1972189997378646 4003.1
030 60 63.7 2.9832867780352594 4246.7
031 59 64.3 2.8303906287138374 4388.0
032 57 62.4 2.6749870196985173 4073.1
100 61 64.6 2.633122354417533 4976.0
101 59 62.6 2.836272984824353 4345.3
102 57 63.1 3.7549966711037177 2981.0
110 58 64.9 3.956710193526379 4910.9
111 60 63.5 2.877112750272011 4440.6
112 59 62.4 2.633122354417533 2940.0
120 58 61.9 2.3781411975649287 4914.1
121 57 60.5 2.223610677354389 4179.2
122 57 61.2 2.2010098692292233 2820.9
130 59 62.5 2.1213203435596424 4552.8
131 60 61.7 1.3374935098492584 3930.2
132 59 61.0 1.632993161855452 2841.5
200 61 62.3 0.9486832980505137 4785.4
201 61 63.3 2.311805451253293 4140.8
202 59 62.0 1.8856180831641267 2975.4
210 60 62.8 1.3984117975602022 4244.2
211 60 62.5 1.6499158227686108 3962.0
212 59 63.2 2.6161889160464775 2994.2
220 59 63.3 2.5407785333546005 3652.0
221 57 62.2 2.5733678754158373 3729.3
222 58 62.9 2.330951164939611 2745.8
230 58 62.3 3.2676869155073254 3729.7
231 58 61.7 2.0575065816014617 3479.2
232 59 61.1 1.4491376746189437 2751.1



ID NUM_SELECTED NUM_GENERATIONS FEASIBLE
0000 65 3221 true
0001 62 3846 true
0002 65 5036 true
0003 63 4164 true
0004 65 4527 true
0005 66 5029 true
0006 63 4371 true
0007 63 4626 true
0008 61 5359 true
0009 63 5050 true
0010 62 4821 true
0011 66 4690 true
0012 63 4993 true
0013 62 3767 true
0014 61 5217 true
0015 64 4255 true
0016 61 5078 true
0017 65 3982 true
0018 60 5519 true
0019 61 5466 true
0020 65 4881 true
0021 66 3817 true
0022 62 3623 true
0023 61 3905 true
0024 62 3646 true
0025 63 4637 true
0026 58 4160 true
0027 62 3337 true
0028 63 3765 true
0029 63 4043 true
0100 64 3796 true
0101 62 5290 true
0102 63 5286 true
0103 64 4942 true
0104 62 4856 true
0105 65 4979 true
0106 60 4678 true
0107 59 5135 true
0108 62 4844 true
0109 62 4060 true
0110 64 4763 true
0111 60 4694 true
0112 60 5299 true
0113 60 5429 true
0114 62 5289 true
0115 59 3531 true
0116 64 4079 true
0117 63 4394 true
0118 67 3805 true
0119 65 4334 true
0120 61 3645 true
0121 61 3399 true
0122 61 4459 true
0123 62 3135 true
0124 63 3935 true
0125 65 4502 true
0126 63 3917 true
0127 64 3590 true
0128 66 3749 true
0129 64 3536 true
0200 62 5385 true
0201 65 3567 true
0202 63 5039 true
0203 60 5722 true
0204 64 4128 true
0205 65 4137 true
0206 64 3449 true
0207 62 5039 true
0208 64 4213 true
0209 63 3854 true
0210 64 4480 true
0211 61 3668 true
0212 64 3913 true
0213 64 4278 true
0214 63 5373 true
0215 62 5219 true
0216 64 4797 true
0217 64 5110 true
0218 62 3540 true
0219 58 4293 true
0220 63 3319 true
0221 62 4162 true
0222 61 4567 true
0223 60 3885 true
0224 63 4089 true
0225 62 4272 true
0226 63 4063 true
0227 64 3350 true
0228 61 3813 true
0229 62 4511 true
0300 65 4687 true
0301 64 3792 true
0302 61 4088 true
0303 63 5160 true
0304 63 3536 true
0305 71 3474 true
0306 60 4539 true
0307 64 4672 true
0308 64 4134 true
0309 62 4385 true
0310 65 4340 true
0311 68 4577 true
0312 63 5086 true
0313 61 3853 true
0314 64 5128 true
0315 66 5026 true
0316 68 3514 true
0317 59 4352 true
0318 65 3577 true
0319 64 4427 true
0320 63 3630 true
0321 65 3812 true
0322 60 4305 true
0323 63 4402 true
0324 60 3776 true
0325 63 4364 true
0326 64 4488 true
0327 63 3735 true
0328 57 4565 true
0329 66 3654 true
1000 62 4319 true
1001 61 5489 true
1002 69 3235 true
1003 65 4062 true
1004 64 5172 true
1005 61 5859 true
1006 67 5518 true
1007 65 5543 true
1008 66 5305 true
1009 66 5258 true
1010 61 4810 true
1011 63 4070 true
1012 60 5217 true
1013 61 3529 true
1014 62 3743 true
1015 67 4799 true
1016 61 5234 true
1017 67 3634 true
1018 59 4642 true
1019 65 3775 true
1020 63 3102 true
1021 60 4054 true
1022 57 3015 true
1023 70 3077 true
1024 61 2461 true
1025 64 2791 true
